Organisation.1,Relationship,Organisation.2
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Cordaid
United States Agency for International Development (USAID),has project implemented by,Pact
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,International Women's Development Agency
Belgian Development Cooperation,provides transaction funding to,Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut
Save the Children Netherlands,has project implemented by,Terre des Hommes Netherlands
Sightsavers,receives activity funding from,HelpAge International
International Organization for Migration (IOM),receives transaction funding from,European Commission - Humanitarian Aid & Civil Protection
Options Consultancy Services,has project implemented by,Handicap International UK
Catholic Agency For Overseas Development (CAFOD),has budget/direction managed by,MannionDaniels
People in Need,receives activity funding from,Norwegian Refugee Council
Orbis Africa,is accountable to,Orbis Charitable Trust
Options Consultancy Services,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
"Denmark - Ministry of Foreign Affairs, Danida",provides transaction funding to,United Nations Development Programme (UNDP)
MannionDaniels,provides transaction funding to,Minority Rights Group
Pegasys Limited,provides transaction funding to,The Proforest Initiative UK
HelpAge International,receives activity funding from,Oxford Policy Management
PwC,provides transaction funding to,The Open University
ZOA,has project implemented by,Norwegian Refugee Council
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,United Nations Office for Project Services (UNOPS)
Danish Trade Union Development Agency (Ulandssekretariatet),receives activity funding from,"Denmark - Ministry of Foreign Affairs, Danida"
"UK - Foreign, Commonwealth and Development Office",has project implemented by,"Sweden, through Swedish International Development Cooperation Agency (Sida)"
Handicap International UK,receives activity funding from,International Planned Parenthood Federation
International Medical Corps UK,receives activity funding from,International Organization for Migration (IOM)
United Nations Children's Fund (UNICEF),has project implemented by,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS)
Hope and Homes for Children,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Amref Flying Doctors,receives activity funding from,Plan International Netherlands
MannionDaniels,has project implemented by,Abaseen Foundation UK
Ministère de l'Economie et des Finances du Bénin,has project implemented by,Commune de Kpomassè - Bénin
International Labour Organization (ILO),receives activity funding from,United Nations Office for Project Services (UNOPS)
Catholic Relief Services,has project implemented by,Oxfam America
Mott MacDonald Limited,receives activity funding from,"UK - Foreign, Commonwealth and Development Office"
Amref Flying Doctors,receives activity funding from,WASTE advisers on urban environment and development
International Development Law Organization (IDLO),receives transaction funding from,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS)
ICCO Cooperation,receives activity funding from,Terre des Hommes Netherlands
Centre National de Coopération au Développement (CNCD-11.11.11),receives activity funding from,Belgian Development Cooperation
Belgian Development Cooperation,provides transaction funding to,"Gavi, the vaccine alliance"
Netherlands Red Cross,receives transaction funding from,Netherlands Enterprise Agency
People in Need,receives activity funding from,Helvetas Swiss Intercooperation
Crown Agents Limited,has project implemented by,Malaria Consortium
People in Need,has project implemented by,Doctors of the World UK
LTS International Limited,is accountable to,Integrity Research and Consultancy Ltd
Send a Cow,receives transaction funding from,MannionDaniels
WYG International B.V.,provides transaction funding to,Integrity Research and Consultancy Ltd
Pegasys Limited,provides transaction funding to,Timber Trade Federation Ltd.
Street Child,has budget/direction managed by,Girls’ Education Challenge – Fund Manager PwC
Stichting Red een Kind,receives transaction funding from,Netherlands - Ministry of Foreign Affairs
Action Contre la Faim,receives transaction funding from,Action Against Hunger UK
Girls’ Education Challenge – Fund Manager PwC,plans to receive transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Save the Children Netherlands,receives transaction funding from,War Child Holland
United Nations Children's Fund (UNICEF),receives activity funding from,King Salman Humanitarian Aid and Relief Centre
International Committee of the Red Cross (ICRC),receives transaction funding from,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme
Groupe Pivot Santé Population,receives activity funding from,Netherlands - Ministry of Foreign Affairs
Frontline AIDS,receives transaction funding from,"UK - Foreign, Commonwealth and Development Office"
Handicap International UK,receives activity funding from,Danish Refugee Council
United Nations High Commissioner for Refugees (UNHCR),receives activity funding from,European Commission - Humanitarian Aid & Civil Protection
Stichting Health Action International,receives activity funding from,Amref Flying Doctors
MDF Global,has project implemented by,VNG International
Support Trust for Africa Development (STAD),receives activity funding from,Plan International Netherlands
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,receives activity funding from,Belgian Development Cooperation
LTS International Limited,receives activity funding from,Climate Policy Initiative
"UK - Foreign, Commonwealth and Development Office",has project implemented by,International Fund for Agricultural Development (IFAD)
Netherlands - Ministry of Foreign Affairs,provides transaction funding to,Stichting Agriterra
World Vision Netherlands,receives activity funding from,Terre des Hommes Netherlands
MannionDaniels,provides transaction funding to,War Child UK
Voluntary Service Overseas (VSO),receives transaction funding from,ACTIONAID INTERNATIONAL KENYA
International Service,receives transaction funding from,United States Agency for International Development (USAID)
Sightsavers,has project implemented by,Development Initiatives Poverty Research
IMC WORLDWIDE,has project implemented by,Landell Mills
Danish Refugee Council,is accountable to,Mercy Corps Europe
Free a Girl,receives transaction funding from,Terre des Hommes Netherlands
Overseas Development Institute,receives activity funding from,International Procurement Agency
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",has project implemented by,Private Infrastructure Development Group
Cordaid,receives transaction funding from,Save the Children Netherlands
Eclosio,is accountable to,Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL
Girls’ Education Challenge – Fund Manager PwC,has project implemented by,ChildHope UK
Ecorys UK,has project implemented by,Itad
Sightsavers,receives transaction funding from,Social Development Direct Limited
International Planned Parenthood Federation,has project implemented by,MSI Reproductive Choices
Cross-Government Prosperity Fund,has budget/direction managed by,"UK - Department for Digital, Culture, Media and Sport"
